Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,22p,
C3,0603,1,22uF,
"C4, C5, C6",0603,3,1uF,
"C7, C8, C9",0603,3,0.1uF,
D2,D_SMP_DO-220AA,1,SS1P3L,
J1,Wago_734-164_1x04_P3.50mm_Horizontal,1,MODBUS,
J2,PinHeader_1x04_P2.54mm_Vertical,1,SERIAL,
J3,PinHeader_2x03_P2.54mm_Vertical,1,SPI,
"J4, J5",PinHeader_1x16_P2.54mm_Vertical,2,Conn_01x16,
J6,USB_Micro-B_Amphenol_10104110_Horizontal,1,USB_B_Micro,
"R1, R2, R4, R5",0603,4,10K,
"R6, R7",0603,2,20K,
SW1,SW_SPST_B3U-1000P,1,Reset,
SW2,SW_SPST_B3U-1000P,1,Adress,
U1,TQFP-32_7x7mm_P0.8mm,1,ATmega328-16A,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,MAX485E,
U3,TO-252-2,1,LM78M05_TO252,
U4,SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm,1,CH340K,
Y1,Crystal_SMD_Qantek_QC5CB-2Pin_5x3.2mm,1,16Mhz,
