Designator,Mid X,Mid Y,Rotation,Layer
C1,156.0,-96.29,180.0,top
C2,156.275,-100.79,180.0,top
C3,175.5,-99.79,270.0,top
C4,170.113047,-102.0,180.0,bottom
C5,157.5,-100.0,180.0,bottom
C6,157.5,-95.0,180.0,bottom
C7,131.0,-91.0,180.0,bottom
C8,127.225,-91.0,0.0,bottom
C9,129.5146,-102.4636,0.0,bottom
D1,147.0,-102.5,90.0,top
D2,136.4615,-105.41,180.0,top
J6,128.3202,-97.76,270.0,top
R1,165.048047,-102.0,180.0,bottom
R2,151.175,-95.5,0.0,top
R3,151.175,-100.0,180.0,top
R4,161.873047,-95.0,270.0,bottom
R5,161.873047,-98.175,270.0,bottom
R6,172.873047,-95.675,270.0,bottom
R7,172.873047,-99.0,270.0,bottom
SW1,147.0,-93.14,0.0,top
SW2,147.0,-98.0,180.0,top
U1,168.0,-97.79,270.0,top
U2,167.0,-96.975,90.0,bottom
U3,149.16,-97.475,0.0,bottom
U4,129.1082,-96.7486,0.0,bottom
Y1,160.0,-98.29,90.0,top
